Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Mr.	Hollier	Adam Jacques Chester Lafayette		C	MI13	2022	5/14/2022	10048102
	Aadland	Erik		C	CO07	2022	1/17/2022	10044401
	Acevedo-Arreguin	Luis Antonio		C	CA18	2022	4/23/2022	10046717
	Achenbach	Jack Joseph		C	FL10	2022	5/15/2022	10048864
Hon.	Adams	Alma Shealey		O	NC12	2022	5/10/2023	10053784
	Adeimy	Deborah		C	FL21	2022	7/14/2022	10047887
	Adeimy	Deborah		X	FL21	2022	5/17/2022	30016710
Hon.	Aderholt	Robert B.		O	AL04	2022	8/11/2023	10053968
Hon.	Aderholt	Robert B.		P	AL04	2022	9/23/2022	20021740
Hon.	Aderholt	Robert B.		P	AL04	2022	12/13/2022	20022132
Hon.	Aderholt	Robert B.		X	AL04	2022	5/11/2023	30018580
	Adkins	Amanda		C	KS03	2022	5/11/2022	10048221
	Afzal	Joseph Edward		C	NV02	2022	6/14/2022	10049623
Hon.	Aguilar	Pete		O	CA33	2022	5/15/2023	10053116
Hon.	Aguilar	Pete		X	CA33	2022	5/5/2023	30018252
	Ahmed	Junaid		C	IL08	2022	5/17/2022	10048881
	Aiken	William		C	NC01	2022	5/25/2022	8218852
	Al-Abdrabbuh	Sami		C	OR04	2022	4/15/2022	10044796
	Alcantara	Christopher Manuel		C	FL11	2022	5/9/2022	10047756
	Alexander	Timothy C.		C	NJ02	2022	6/4/2023	10054986
	Alford	Mark		C	MO04	2022	6/24/2022	10049006
	Alford	Mark		X	MO04	2022	6/6/2022	30017202
Hon.	Alford	Mark		H	MO04	2022	8/11/2023	10051960
	Allcorn	Tyler		X	CO08	2022	6/22/2022	30017107
	Allen	Bill		C	IN07	2022	5/21/2022	10044642
Dr.	Allen	Brad Dr		C	CA24	2022	5/11/2022	10048089
Hon.	Allen	Richard W.		O	GA12	2022	8/12/2023	10051612
Hon.	Allen	Richard W.		P	GA12	2022	2/13/2022	20020448
Hon.	Allen	Richard W.		P	GA12	2022	3/9/2022	20020585
Hon.	Allen	Richard W.		P	GA12	2022	9/10/2022	20021681
Hon.	Allen	Richard W.		X	GA12	2022	5/11/2023	30018504
	Alley	Josh		C	TN06	2022	5/17/2022	10049328
Hon.	Allred	Colin		O	TX32	2022	5/15/2023	10052919
Dr.	Almonord	Valbrun		C	GA03	2022	5/12/2022	10048361
	Almonte	Melinda		D	FL23	2022	4/28/2022	40003341
	Alonso Leon	Teresa		C	OR06	2022	5/17/2022	10049338
	Altman	Larry Thomas	III	C	VA02	2022	5/16/2022	10048908
	Amato	Bruno		W	CA23	2022	4/28/2022	7850
	Ambrose	Mark		C	MI11	2022	5/10/2022	10047646
	Ambrose	Nicolee		C	MD02	2022	6/20/2022	10048962
	Ambrose	Nicolee		X	MD02	2022	6/22/2022	30017180
Hon.	Amodei	Mark E.		O	NV02	2022	4/28/2023	10052470
	Anders	Bob		W	MO02	2022	11/14/2022	7893
	Andersen	Carl E.		C	CO07	2022	3/24/2022	10044558
	Anderson	Byron Avery		C	AZ06	2022	5/11/2022	10048203
	Anderson	David		C	WA09	2022	5/28/2022	10049559
	Anderson	Derrick		C	VA07	2022	5/14/2022	10048115
Dr.	Andrews	Annie		C	SC01	2022	9/29/2022	10050431
	Andrews	Naomi		C	OK02	2022	5/13/2022	10048635
	Arballo	Phil		C	CA13	2022	5/16/2022	10046494
Hon.	Arenholz	Ashley Hinson		O	IA02	2022	8/13/2023	10053293
Hon.	Arenholz	Ashley Hinson		X	IA02	2022	5/8/2023	30018298
	Arianas	Peter Steven		X	FL21	2022	5/6/2022	30016420
Hon.	Armstrong	Kelly		X	ND00	2022	4/12/2023	30017959
Dr.	Arredondo-Lynch	Alma G.		C	TX23	2022	5/13/2022	10048622
Hon.	Arrington	Jodey		O	TX19	2022	8/11/2023	10054587
Hon.	Arrington	Jodey		X	TX19	2022	5/15/2023	30018933
	Arrington	Katie		C	SC01	2022	5/15/2022	10048891
Mrs.	Arthur	Barbara		C	SC07	2022	5/17/2022	10049320
	Asencio	Robert		C	FL28	2022	7/15/2022	10049992
Hon.	Auchincloss	Jake		O	MA04	2022	5/5/2023	10052108
Hon.	Auchincloss	Jake		P	MA04	2022	4/10/2022	20020708
	Ausbrooks	Jimmy Clifton		C	KY01	2022	4/26/2022	10046211
	Ausman	Dick		C	WI07	2022	8/2/2022	10050080
