Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
	Aazami	Shervin		C	CA30	2021	2/22/2021	10039551
	Abdelhamid	Rana		C	NY12	2021	5/14/2021	10039753
	Achenbach	Jack Joseph		A	FL10	2021	7/8/2021	10041290
	Achenbach	Jack Joseph		C	FL10	2021	7/7/2021	10041275
	Acheson	Phelan Douglas		W	UT02	2021		8218052
	Ackerman	Michael Stephan		C	NC05	2021	5/14/2021	10040418
Hon.	Adams	Alma Shealey		O	NC12	2021	6/10/2022	10049721
	Adams	Matt		C	TN03	2021	7/23/2021	10041716
Dr.	Addison	Michael Antonio		C	SC06	2021	7/15/2021	10041506
	Adeimy	Deborah		C	FL21	2021	2/10/2022	10044561
	Adeimy	Deborah		X	FL21	2021	12/7/2021	8218483
Hon.	Aderholt	Robert B.		O	AL04	2021	5/16/2022	10048208
	Adkins	Amanda		C	KS03	2021	5/14/2021	10040322
Hon.	Aguilar	Pete		O	CA31	2021	5/4/2022	10047425
	Ahmed	Junaid		C	IL08	2021	2/17/2022	10044564
	Alcorn	Peter David		C	AL01	2021	10/18/2021	10043907
Dr.	Alexander	Sam		C	MO07	2021	9/22/2021	8218362
	Alexander	Timothy C.		C	NJ02	2021	5/15/2021	10040435
	Alford	Mark		C	MO04	2021	11/26/2021	10044117
	Alford	Mark		X	MO04	2021	11/30/2021	30015165
	Allam	Nida		C	NC06	2021	12/21/2021	10044219
Hon.	Allen	Richard W.		O	GA12	2021	5/16/2022	10046505
Hon.	Allen	Richard W.		P	GA12	2021	1/13/2021	20018021
Hon.	Allen	Richard W.		P	GA12	2021	3/14/2021	20018393
Hon.	Allen	Richard W.		P	GA12	2021	4/6/2021	20018530
Hon.	Allen	Richard W.		P	GA12	2021	5/9/2021	20018703
Hon.	Allen	Richard W.		P	GA12	2021	6/12/2021	20018906
Hon.	Allen	Richard W.		P	GA12	2021	10/20/2021	20019561
Hon.	Allen	Richard W.		P	GA12	2021	11/8/2021	20019653
Hon.	Allen	Richard W.		P	GA12	2021	11/8/2021	20019774
Hon.	Allen	Richard W.		P	GA12	2021	11/8/2021	20019775
Hon.	Allen	Richard W.		P	GA12	2021	11/10/2021	20019790
Hon.	Allred	Colin		O	TX32	2021	8/12/2022	10047526
Hon.	Allred	Colin		X	TX32	2021	5/9/2022	30016701
Dr.	Almonord	Valbrun		C	GA03	2021	11/9/2021	10043951
	Altman	Larry Thomas	III	C	VA02	2021	6/23/2021	10041015
Dr.	Alvarado	Eliza		C	TX15	2021	11/8/2021	10044007
Hon.	Amash	Justin		T	MI03	2021	2/2/2021	10039489
	Amato	Bruno		A	CA23	2021	4/28/2021	10040026
	Amato	Bruno		C	CA23	2021	4/28/2021	10040017
Hon.	Amodei	Mark E.		O	NV02	2021	5/9/2022	10046996
	Anders	Bob		C	MO02	2021	4/15/2021	10039735
	Anderson	David Lee	Jr.	C	TX35	2021	8/23/2021	10043576
	Anderson	Derrick		C	VA07	2021	11/14/2021	10044034
	Anderson	Terell Terell		A	AL02	2021	5/17/2021	10040507
	Anderson	Terell Terell		C	AL02	2021	5/14/2021	10039654
Dr.	Andrews	Annie		C	SC01	2021	9/22/2022	10050430
	Aneralla	John		W	NC13	2021	3/16/2022	7834
	Aneralla	John		X	NC13	2021	1/3/2022	30015232
	Angel	Angela		D	MD04	2021	2/3/2022	40003305
Mr.	Aquino	Darren Dione		C	FL25	2021	12/7/2021	10044176
Mr.	Aquino	Darren Dione		D	FL25	2021	12/21/2021	8218517
	Arballo	Phil		C	CA22	2021	5/15/2021	10040115
	Ardoin	Chelsea		C	LA02	2021	4/28/2021	8217995
	Arianas	Peter Steven		C	FL21	2021	12/10/2021	10044095
	Arianas	Peter Steven		X	FL21	2021	12/6/2021	30015168
	Armendariz-Jackson	Irene		C	TX16	2021	5/14/2021	10040420
Hon.	Armstrong	Kelly		O	ND00	2021	8/12/2022	10046449
Hon.	Armstrong	Kelly		X	ND00	2021	4/19/2022	30016405
	Arraf	Huwaida		X	MI10	2021	12/13/2021	30015191
Dr.	Arredondo-Lynch	Alma G.		C	TX23	2021	1/31/2022	10044254
Hon.	Arrington	Jodey Cook		O	TX19	2021	8/11/2022	10046994
Hon.	Arrington	Jodey Cook		X	TX19	2021	4/28/2022	30016499
Mrs.	Arthur	Barbara		C	SC07	2021	7/2/2021	10041188
	Atencio	Rudy A.		C	TX08	2021	4/14/2021	10039732
Hon.	Auchincloss	Jake		O	MA04	2021	5/15/2022	10047147
	Ausbrooks	Jimmy Clifton		C	KY01	2021	9/13/2021	10043735
	Austin	Gerald Darryll		X	NC06	2021	9/13/2021	30015061
Mr.	Awtrey	Patrick Eugene		D	OH14	2021	11/3/2021	40003269
Hon.	Axne	Cindy		O	IA03	2021	5/16/2022	10047923
Hon.	Axne	Cindy		P	IA03	2021	10/8/2021	20019530
Hon.	Axne	Cindy		P	IA03	2021	11/5/2021	20019685
Hon.	Axne	Cindy		P	IA03	2021	12/7/2021	20019824
	Ayala	Aramis		C	FL10	2021	9/22/2021	10041042
	Ayala	Aramis		X	FL10	2021	6/29/2021	30014968
Hon.	Babin	Brian		O	TX36	2021	5/16/2022	10048408
Hon.	Bacon	Donald John		O	NE02	2021	5/16/2022	10046819
	Baddar	Youseff Milad		C	OH05	2021	5/5/2021	10040214
	Badhasso	Amane		C	MN04	2021	5/24/2022	8218783
	Bailey	Kathleen Cordelia		C	TX05	2021	6/2/2021	10040686
	Bailey	Richard		C	CA52	2021	12/8/2021	10043698
	Bailey	Richard		X	CA52	2021	9/13/2021	30015074
	Bailey	William		D	SC07	2021	4/26/2021	8217993
Hon.	Baird	James R Dr		O	IN04	2021	5/20/2022	10049308
	Balderramos Robinson	Corinna		D	FL18	2021	9/28/2021	40003255
	Balderson	Troy		O	OH12	2021	5/12/2022	10046351
	Ballard	Jack		C	MT00	2021	11/12/2021	10043231
	Ballard	Jack		X	MT00	2021	8/23/2021	30015036
Hon.	Banks	James E Hon		O	IN03	2021	5/14/2022	10046276
Hon.	Banks	James E Hon		P	IN03	2021	1/13/2021	20018018
Hon.	Banks	James E Hon		P	IN03	2021	5/18/2021	20018763
Hon.	Banks	James E Hon		P	IN03	2021	6/11/2021	20018903
Hon.	Banks	James E Hon		P	IN03	2021	7/10/2021	20019063
Hon.	Banks	James E Hon		P	IN03	2021	7/16/2021	20019099
Hon.	Banks	James E Hon		P	IN03	2021	9/14/2021	20019484
Hon.	Banks	James E Hon		P	IN03	2021	10/17/2021	20019642
Hon.	Banks	James E Hon		P	IN03	2021	11/10/2021	20019793
Hon.	Banks	James E Hon		P	IN03	2021	12/13/2021	20020002
	Banyai	Cindy Lyn		C	FL19	2021	10/28/2021	10043957
