#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2023.04.24 08:00,buy,1,0.04,33701.77,33634.37,33748.95,0,10000
2,2023.04.24 12:22,t/p,1,0.04,33748.95,33634.37,33748.95,188.52,10188.52
3,2023.04.24 12:26,sell,2,0.04,33752.91,33820.42,33705.66,188.52,10188.52
4,2023.04.24 16:30,s/l,2,0.04,33820.42,33820.42,33705.66,-270.24,9918.28
5,2023.04.24 16:35,sell,3,0.04,33835.28,33902.95,33787.91,-270.24,9918.28
6,2023.04.24 18:28,t/p,3,0.04,33787.91,33902.95,33787.91,189.28,10107.56
7,2023.04.24 18:31,buy,4,0.04,33788.22,33720.64,33835.52,189.28,10107.56
8,2023.04.24 19:16,s/l,4,0.04,33720.64,33720.64,33835.52,-270.52,9837.04
9,2023.04.24 19:17,buy,5,0.04,33735.71,33668.24,33782.94,-270.52,9837.04
10,2023.04.24 19:28,t/p,5,0.04,33782.94,33668.24,33782.94,188.72,10025.76
11,2023.04.24 19:31,sell,6,0.04,33779.49,33847.05,33732.2,188.72,10025.76
12,2023.04.24 22:03,s/l,6,0.04,33847.05,33847.05,33732.2,-270.44,9755.32
13,2023.04.25 07:05,sell,7,0.04,33824.3,33891.95,33776.95,-270.44,9755.32
14,2023.04.25 10:03,t/p,7,0.04,33776.95,33891.95,33776.95,189.2,9944.52
15,2023.04.25 10:05,buy,8,0.04,33785.69,33718.12,33832.99,189.2,9944.52
16,2023.04.25 10:30,s/l,8,0.04,33718.12,33718.12,33832.99,-270.48,9674.04
17,2023.04.25 10:33,buy,9,0.04,33736,33668.53,33783.23,-270.48,9674.04
18,2023.04.25 13:57,t/p,9,0.04,33783.23,33668.53,33783.23,188.72,9862.76
19,2023.04.25 14:03,sell,10,0.04,33779.24,33846.8,33731.95,188.72,9862.76
20,2023.04.25 16:33,s/l,10,0.04,33846.8,33846.8,33731.95,-270.44,9592.32
21,2023.04.25 16:35,sell,11,0.04,33847.12,33914.81,33799.73,-270.44,9592.32
22,2023.04.25 16:48,t/p,11,0.04,33799.73,33914.81,33799.73,189.36,9781.68
23,2023.04.25 16:50,buy,12,0.04,33808.06,33740.44,33855.39,189.36,9781.68
24,2023.04.25 17:02,t/p,12,0.04,33855.39,33740.44,33855.39,189.12,9970.8
25,2023.04.25 17:07,sell,13,0.04,33839.32,33907,33791.94,189.12,9970.8
26,2023.04.25 17:11,t/p,13,0.04,33791.94,33907,33791.94,189.32,10160.12
27,2023.04.25 17:16,buy,14,0.04,33779.64,33712.08,33826.93,189.32,10160.12
28,2023.04.25 18:11,t/p,14,0.04,33826.93,33712.08,33826.93,188.96,10349.08
29,2023.04.25 18:15,sell,15,0.04,33831.41,33899.07,33784.05,188.96,10349.08
30,2023.04.25 18:28,t/p,15,0.04,33784.05,33899.07,33784.05,189.24,10538.32
31,2023.04.25 18:35,buy,16,0.04,33749.96,33682.46,33797.21,189.24,10538.32
32,2023.04.25 19:55,s/l,16,0.04,33682.46,33682.46,33797.21,-270.2,10268.12
33,2023.04.25 19:56,buy,17,0.04,33684,33616.63,33731.16,-270.2,10268.12
34,2023.04.25 20:14,s/l,17,0.04,33616.63,33616.63,33731.16,-269.68,9998.44
35,2023.04.25 20:15,buy,18,0.04,33608.61,33541.39,33655.66,-269.68,9998.44
36,2023.04.25 21:03,s/l,18,0.04,33541.39,33541.39,33655.66,-269.08,9729.36
37,2023.04.26 07:02,buy,19,0.04,33568.65,33501.51,33615.65,-269.08,9729.36
38,2023.04.26 10:46,s/l,19,0.04,33501.51,33501.51,33615.65,-268.76,9460.6
39,2023.04.26 10:46,buy,20,0.04,33503.18,33436.17,33550.08,-268.76,9460.6
40,2023.04.26 11:25,t/p,20,0.04,33550.08,33436.17,33550.08,187.4,9648
41,2023.04.26 11:31,sell,21,0.04,33563.34,33630.47,33516.35,187.4,9648
42,2023.04.26 12:51,t/p,21,0.04,33516.35,33630.47,33516.35,187.76,9835.76
43,2023.04.26 12:55,buy,22,0.04,33500.19,33433.19,33547.09,187.76,9835.76
44,2023.04.26 13:07,t/p,22,0.04,33547.09,33433.19,33547.09,187.4,10023.16
45,2023.04.26 13:10,sell,23,0.04,33550.96,33618.06,33503.99,187.4,10023.16
46,2023.04.26 13:33,t/p,23,0.04,33503.99,33618.06,33503.99,187.68,10210.84
47,2023.04.26 13:35,buy,24,0.04,33509.02,33442,33555.93,187.68,10210.84
48,2023.04.26 14:38,t/p,24,0.04,33555.93,33442,33555.93,187.44,10398.28
49,2023.04.26 14:41,sell,25,0.04,33552.7,33619.81,33505.73,187.44,10398.28
50,2023.04.26 16:12,s/l,25,0.04,33619.81,33619.81,33505.73,-268.64,10129.64
51,2023.04.26 16:17,sell,26,0.04,33627.4,33694.65,33580.32,-268.64,10129.64
