#,Time,Type,Order,Size,Price,S / L,T / P,Profit,Balance
1,2023.04.24 08:00,buy,1,0.04,33701.77,33634.37,33748.95,0,10000.00
2,2023.04.24 12:22,t/p,1,0.04,33748.95,33634.37,33748.95,188.52,10188.52
3,2023.04.24 12:46,buy,2,0.04,33751.70,33684.20,33798.95,188.52,10188.52
4,2023.04.24 14:32,t/p,2,0.04,33798.95,33684.20,33798.95,188.80,10377.32
5,2023.04.24 14:45,buy,3,0.04,33786.33,33718.76,33833.63,188.80,10377.32
6,2023.04.24 16:30,t/p,3,0.04,33833.63,33718.76,33833.63,189.00,10566.32
7,2023.04.24 17:02,buy,4,0.04,33839.56,33771.88,33886.94,189.00,10566.32
8,2023.04.24 17:30,t/p,4,0.04,33886.94,33771.88,33886.94,189.32,10755.64
9,2023.04.24 17:40,buy,5,0.04,33826.73,33759.08,33874.09,189.32,10755.64
10,2023.04.24 18:42,s/l,5,0.04,33759.08,33759.08,33874.09,-270.80,10484.84
11,2023.04.24 18:46,buy,6,0.04,33751.80,33684.30,33799.05,-270.80,10484.84
12,2023.04.24 19:36,t/p,6,0.04,33799.05,33684.30,33799.05,188.80,10673.64
13,2023.04.24 20:06,buy,7,0.04,33814.14,33746.51,33861.48,188.80,10673.64
14,2023.04.24 22:12,t/p,7,0.04,33861.48,33746.51,33861.48,189.16,10862.80
15,2023.04.25 07:11,buy,8,0.04,33818.09,33750.45,33865.44,189.16,10862.80
16,2023.04.25 10:23,s/l,8,0.04,33750.45,33750.45,33865.44,-270.76,10592.04
17,2023.04.25 10:25,buy,9,0.04,33750.92,33683.42,33798.17,-270.76,10592.04
18,2023.04.25 14:01,t/p,9,0.04,33798.17,33683.42,33798.17,188.80,10780.84
19,2023.04.25 14:35,buy,10,0.04,33786.09,33718.52,33833.39,188.80,10780.84
20,2023.04.25 16:32,t/p,10,0.04,33833.39,33718.52,33833.39,189.00,10969.84
21,2023.04.25 16:50,buy,11,0.04,33808.06,33740.44,33855.39,189.00,10969.84
22,2023.04.25 17:02,t/p,11,0.04,33855.39,33740.44,33855.39,189.12,11158.96
23,2023.04.25 17:16,buy,12,0.04,33779.64,33712.08,33826.93,189.12,11158.96
24,2023.04.25 18:11,t/p,12,0.04,33826.93,33712.08,33826.93,188.96,11347.92
25,2023.04.25 18:25,buy,13,0.04,33802.04,33734.44,33849.36,188.96,11347.92
26,2023.04.25 18:42,s/l,13,0.04,33734.44,33734.44,33849.36,-270.60,11077.32
27,2023.04.25 18:45,buy,14,0.04,33738.57,33671.09,33785.80,-270.60,11077.32
28,2023.04.25 20:09,s/l,14,0.04,33671.09,33671.09,33785.80,-270.12,10807.20
29,2023.04.25 20:10,buy,15,0.04,33668.11,33600.77,33715.25,-270.12,10807.20
30,2023.04.25 20:16,s/l,15,0.04,33600.77,33600.77,33715.25,-269.56,10537.64
31,2023.04.25 20:20,buy,16,0.04,33582.89,33515.72,33629.91,-269.56,10537.64
32,2023.04.26 10:43,s/l,16,0.04,33515.72,33515.72,33629.91,-277.61,10260.03
33,2023.04.26 10:45,buy,17,0.04,33503.51,33436.50,33550.41,-277.61,10260.03
34,2023.04.26 11:25,t/p,17,0.04,33550.41,33436.50,33550.41,187.40,10447.43
35,2023.04.26 12:10,buy,18,0.04,33570.06,33502.92,33617.06,187.40,10447.43
36,2023.04.26 12:52,s/l,18,0.04,33502.92,33502.92,33617.06,-268.76,10178.67
37,2023.04.26 12:55,buy,19,0.04,33500.19,33433.19,33547.09,-268.76,10178.67
38,2023.04.26 13:07,t/p,19,0.04,33547.09,33433.19,33547.09,187.40,10366.07
39,2023.04.26 13:17,buy,20,0.04,33522.84,33455.79,33569.77,187.40,10366.07
40,2023.04.26 14:41,t/p,20,0.04,33569.77,33455.79,33569.77,187.52,10553.59
41,2023.04.26 14:57,buy,21,0.04,33576.91,33509.76,33623.92,187.52,10553.59
42,2023.04.26 16:12,t/p,21,0.04,33623.92,33509.76,33623.92,187.84,10741.43
43,2023.04.26 16:26,buy,22,0.04,33596.80,33529.61,33643.84,187.84,10741.43
44,2023.04.26 16:33,t/p,22,0.04,33643.84,33529.61,33643.84,187.96,10929.39
45,2023.04.26 16:33,buy,23,0.04,33644.04,33576.75,33691.14,187.96,10929.39
46,2023.04.26 16:36,s/l,23,0.04,33576.75,33576.75,33691.14,-269.36,10660.03
47,2023.04.26 16:45,buy,24,0.04,33553.59,33486.48,33600.57,-269.36,10660.03
48,2023.04.26 17:12,s/l,24,0.04,33486.48,33486.48,33600.57,-268.64,10391.39
49,2023.04.26 17:16,buy,25,0.04,33457.74,33390.82,33504.58,-268.64,10391.39
50,2023.04.26 17:23,s/l,25,0.04,33390.82,33390.82,33504.58,-267.88,10123.51
51,2023.04.26 17:26,buy,26,0.04,33391.14,33324.36,33437.89,-267.88,10123.51
52,2023.04.26 18:02,t/p,26,0.04,33437.89,33324.36,33437.89,186.80,10310.31
53,2023.04.26 18:40,buy,27,0.04,33494.55,33427.56,33541.44,186.80,10310.31
54,2023.04.26 18:48,t/p,27,0.04,33541.44,33427.56,33541.44,187.36,10497.67
55,2023.04.26 19:15,buy,28,0.04,33558.93,33491.81,33605.91,187.36,10497.67
56,2023.04.26 19:33,s/l,28,0.04,33491.81,33491.81,33605.91,-268.68,10228.99
57,2023.04.26 19:37,buy,29,0.04,33489.36,33422.38,33536.25,-268.68,10228.99
58,2023.04.26 20:47,s/l,29,0.04,33422.38,33422.38,33536.25,-268.12,9960.87
59,2023.04.26 20:56,buy,30,0.04,33374.66,33307.91,33421.38,-268.12,9960.87
60,2023.04.26 21:42,s/l,30,0.04,33307.91,33307.91,33421.38,-267.20,9693.67
61,2023.04.27 07:31,buy,31,0.04,33348.59,33281.89,33395.28,-267.20,9693.67
62,2023.04.27 10:47,t/p,31,0.04,33395.28,33281.89,33395.28,186.56,9880.23
63,2023.04.27 11:05,buy,32,0.04,33369.05,33302.31,33415.77,186.56,9880.23
64,2023.04.27 13:06,t/p,32,0.04,33415.77,33302.31,33415.77,186.68,10066.91
65,2023.04.27 13:27,buy,33,0.04,33405.27,33338.46,33452.04,186.68,10066.91
66,2023.04.27 13:31,t/p,33,0.04,33452.04,33338.46,33452.04,186.88,10253.79
67,2023.04.27 13:55,buy,34,0.04,33474.56,33407.61,33521.42,186.88,10253.79
68,2023.04.27 16:19,s/l,34,0.04,33407.61,33407.61,33521.42,-268.00,9985.79
69,2023.04.27 16:20,buy,35,0.04,33395.09,33328.30,33441.84,-268.00,9985.79
70,2023.04.27 16:37,t/p,35,0.04,33441.84,33328.30,33441.84,186.80,10172.59
71,2023.04.27 16:37,buy,36,0.04,33442.07,33375.19,33488.89,186.80,10172.59
